;stack_usada
23;Mlflow, cookiecutter, kubernets, gitlab CI/CD, gradio, streamlite, airflow, cloudrun
26;AWS (ECS, Lambda, ... Etc), Terraform, Git, Python.
28;"MLFlow
Airflow
Jupyter
Docker
Kubernetes
FastAPI"
29;MLFlow, FastAPI
32;Mlflow, Luigi, Pedro, Airflow, Azure Devops, Rundeck, Sagemaker
33;mlflow, jenkins, argocd, kubernetes
35;Mlflow, docker, jenkins, dvc.
39;Aws
40;Python + Kedro + DVC + Great Expectation + MLFlow + AzureML
46;Kubernets, Docker, AWS S3, Gitlab, Python, Luigi, Java
55;Prefect, MLFLOW, CI/CD Azure
57;AWS ECR, Docker, Lambda, StepFunctions, Kedro, Mloflow, PostgresSQL, Redshift, S3
